material_uri,material_name,primary_category,secondary_category,rdfs_comment,description
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Asphalt_Bitumen,Asphalt Bitumen,Asphalt,AsphaltBitumen,Material used in asphalt for road construction.,Asphalt coating
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Asphalt_Pavement,Asphalt Pavement,Asphalt,AsphaltPaving,Pavement material made of asphalt.,Asphalt paving
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Asphalt_Pavement_Dark_Grey,Asphalt Pavement Dark Grey,Asphalt,AsphaltPaving,Dark gray asphalt pavement.,Asphalt paving
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Asphalt_Pavement_Light_Grey,Asphalt Pavement Light Grey,Asphalt,AsphaltPaving,Light gray asphalt pavement.,Asphalt paving
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Asphalt_Shingle,Asphalt Shingle,Asphalt,AsphaltShingle,Roofing material made of asphalt.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Bamboo_as_Individual,Bamboo,Flooring,Bamboo,Fast-growing woody plant used as building material.,Laminated bamboo sheets
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Birch,Birch,Wood,HardWood,Light-colored hardwood with a fine texture.,Yellow Birch
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Birch__Glossy,Birch  Glossy,Wood,HardWood,"Birch wood with a polished, glossy finish.",Yellow Birch
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Birch__Semigloss,Birch  Semigloss,Wood,HardWood,Birch wood with a semi-gloss finish.,Yellow Birch
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brass,Brass,Metal,NonFerrous,Alloy of copper and zinc with various applications.,Free cutting brass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Adobe_as_Individual,Brick Adobe,Masonry,BrickAdobe,Traditional building material made from sun-dried clay.,Mud brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Common,Brick Common,Masonry,BrickCommon,Standard rectangular brick for construction.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Common_Brown,Brick Common Brown,Masonry,BrickCommon,Standard brown-colored fired clay brick.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Common_Grey,Brick Common Grey,Masonry,BrickCommon,Standard grey-colored fired clay brick.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Common_Red,Brick Common Red,Masonry,BrickCommon,Standard red-colored fired clay brick.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Cored,Brick Cored,Masonry,BrickCored,Brick with voids or perforations to reduce weight.,Cored brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Dark_Blend_Running,Brick Dark Blend Running,Masonry,BrickCommon,Brick in a dark blend pattern for running bond.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Dark_Blend_Soldier,Brick Dark Blend Soldier,Masonry,BrickCommon,Brick in a dark blend pattern for soldier bond.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Engineering,Brick Engineering,Masonry,BrickCommon,High-strength brick used in structural applications.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Engineering_Grey,Brick Engineering Grey,Masonry,BrickCommon,High-strength grey-colored brick for structural use.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Engineering_Soldier_Course,Brick Engineering Soldier Course,Masonry,BrickCommon,High-strength brick for soldier course applications.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Horizontal_Pattern,Brick Horizontal Pattern,Masonry,BrickCommon,Brick laid horizontally for patterned appearance.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Light_Blend_Running,Brick Light Blend Running,Masonry,BrickCommon,Brick in a light blend pattern for running bond.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Light_Blend_Soldier,Brick Light Blend Soldier,Masonry,BrickCommon,Brick in a light blend pattern for soldier bond.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Modular,Brick Modular,Masonry,BrickCommon,Standard-sized brick used in modular construction.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Norman,Brick Norman,Masonry,BrickCommon,Standard-sized brick with regular shape.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Pavers,Brick Pavers,Masonry,BrickPavers,Clay or concrete bricks used for paving.,Paving brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Sand_Lime,Brick Sand Lime,Masonry,BrickCommon,"Brick made from sand and lime, not fired.",Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Soldier_Course,Brick Soldier Course,Masonry,BrickCommon,Row of bricks set vertically in a wall.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Brick_Soldier_Course_Buff,Brick Soldier Course Buff,Masonry,BrickCommon,Buff-colored row of bricks set vertically.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Bronze,Bronze,Metal,NonFerrous,Alloy of copper and tin with various applications.,Architectural bronze
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Bronze_Architectural,Bronze Architectural,Metal,NonFerrous,Bronze used in architectural applications.,Architectural bronze
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#CFRP,CFRP,Plastic,Composite,Carbon Fiber Reinforced Polymer material.,Epoxy Carbon Fiber Composite
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#CMU_Lightweight,CMU Lightweight,Concrete,Standard,Lightweight concrete masonry unit.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#CMU_Perlite_Filled,CMU Perlite Filled,Concrete,Standard,Concrete masonry unit filled with perlite.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#CMU_Ribbed,CMU Ribbed,Concrete,Standard,Concrete masonry unit with ribbed texture.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#CMU_Split_Face,CMU Split Face,Concrete,Standard,Concrete masonry unit with split face finish.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Canvas,Canvas,Fabric,FabricCotton,Durable woven fabric made from cotton or linen.,Woven cotton
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Canvas_Blue_Stripe,Canvas Blue Stripe,Fabric,FabricCotton,Canvas fabric with blue stripes.,Woven cotton
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Berber_Color_Mix,Carpet Berber Color Mix,Fabric,Carpet,Berber-style carpet with mixed colors.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Berber_Grey_Pattern,Carpet Berber Grey Pattern,Fabric,Carpet,Berber-style carpet with grey pattern.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Berber_Grey_Stripes,Carpet Berber Grey Stripes,Fabric,Carpet,Berber-style carpet with grey stripes.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Berber_Light_Grey,Carpet Berber Light Grey,Fabric,Carpet,Berber-style carpet in light grey color.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Berber_Medium_Grey,Carpet Berber Medium Grey,Fabric,Carpet,Berber-style carpet in medium grey color.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Berber_Tan_Pattern,Carpet Berber Tan Pattern,Fabric,Carpet,Berber-style carpet with tan pattern.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Berber_Tan_Stripes,Carpet Berber Tan Stripes,Fabric,Carpet,Berber-style carpet with tan stripes.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Cut_Pile_Tan_Pattern,Carpet Cut Pile Tan Pattern,Fabric,Carpet,Cut pile carpet with tan pattern.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Loop_Pile_Tan,Carpet Loop Pile Tan,Fabric,Carpet,Loop pile carpet in tan color.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Carpet_Loop_Pile_White,Carpet Loop Pile White,Fabric,Carpet,Loop pile carpet in white color.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Cavity_Fill,Cavity Fill,Insulation,Insulation,Insulating material filling wall cavities.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Ceiling_Tile_600_x_1200,Ceiling Tile 600 x 1200,Ceiling,AcousticCeilingTile,Ceiling tile with dimensions of 600 x 1200 mm.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Ceiling_Tile_600_x_600,Ceiling Tile 600 x 600,Ceiling,AcousticCeilingTile,Square ceiling tile with dimensions of 600 x 600 mm.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Cellulose_Fill,Cellulose Fill,Insulation,Insulation,Insulation material made from recycled paper.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Ceramic_Tile,Ceramic Tile,Tile,Tile,Tile made from fired clay.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Cherry,Cherry,Wood,HardWood,HardWood timber with reddish-brown color.,Black Cherry
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Cladding_Vertical_Ribbed,Cladding Vertical Ribbed,Metal,Aluminum,Ribbed cladding used for vertical applications.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Aerated,Concrete Aerated,Concrete,Lightweight,Lightweight concrete with air pockets.,Lightweight f'c=4.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Block_pattern_formwork,Concrete Block pattern formwork,Concrete,Standard,Concrete block with patterned surface.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Board_Formed,Concrete Board Formed,Concrete,Standard,Concrete with distinct board marks.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Broom_Finish,Concrete Broom Finish,Concrete,Standard,Concrete surface textured with a broom.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C12/15,Concrete C12/15,Concrete,Standard,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C12/15
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C16/20,Concrete C16/20,Concrete,Standard,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C16/20
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C20/25,Concrete C20/25,Concrete,Standard,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C20/25
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C25/30,Concrete C25/30,Concrete,Standard,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C25/30
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C30/37,Concrete C30/37,Concrete,Standard,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C30/37
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C35/45,Concrete C35/45,Concrete,Standard,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C35/45
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C40/50,Concrete C40/50,Concrete,Standard,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C40/50
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C45/55,Concrete C45/55,Concrete,HighStrength,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C45/55
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C50/60,Concrete C50/60,Concrete,HighStrength,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C50/60
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C55/67,Concrete C55/67,Concrete,HighStrength,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C55/67
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C60/75,Concrete C60/75,Concrete,HighStrength,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C60/75
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C70/85,Concrete C70/85,Concrete,HighStrength,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C70/85
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C80/95,Concrete C80/95,Concrete,HighStrength,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C80/95
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_C90/105,Concrete C90/105,Concrete,HighStrength,"Concrete with specified compressive strength. For more clarity check BS 5328, or BS EN 206 and BS 8500",EC2 Concrete C90/105
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Cast_In_Situ,Concrete Cast In Situ,Concrete,Standard,Concrete poured and cured on-site.,Concrete f'c=10 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Cast_in_Situ_Lightweight,Concrete Cast in Situ Lightweight,Concrete,Lightweight,Lightweight concrete poured in place.,Lightweight f'c=4.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace_Gray,Concrete CastinPlace Gray,Concrete,Standard,Concrete with a gray color.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C10,Concrete CastinPlace  C10,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=10 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C15,Concrete CastinPlace  C15,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=15 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C20,Concrete CastinPlace  C20,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=20 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C25,Concrete CastinPlace  C25,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=25 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C30,Concrete CastinPlace  C30,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=30 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C35,Concrete CastinPlace  C35,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=35 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C40,Concrete CastinPlace  C40,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=40 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C45,Concrete CastinPlace  C45,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=45 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C50,Concrete CastinPlace  C50,Concrete,HighStrength,Concrete with specified compressive strength.,Concrete f'c=50 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C60,Concrete CastinPlace  C60,Concrete,HighStrength,Concrete with specified compressive strength.,Concrete f'c=60 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_CastinPlace__C7_5,Concrete CastinPlace  C7_5,Concrete,Standard,Concrete with specified compressive strength.,Concrete f'c=7.5 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Exposed_Aggregate,Concrete Exposed Aggregate,Concrete,Standard,Concrete with decorative exposed aggregate finish.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_High_Strength,Concrete High Strength,Concrete,HighStrength,Concrete with enhanced compressive strength.,High Strength f'c=10.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Lightweight,Concrete Lightweight,Concrete,Lightweight,Lightweight concrete mixture.,Lightweight f'c=4.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Lightweight_30,Concrete Lightweight 30,Concrete,Lightweight,Lightweight concrete with specified strength.,Lightweight f'c=30 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Lightweight_40,Concrete Lightweight 40,Concrete,Lightweight,Lightweight concrete with specified strength.,Lightweight f'c=40 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Lightweight_45,Concrete Lightweight 45,Concrete,Lightweight,Lightweight concrete with specified strength.,Lightweight f'c=45 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Lightweight_4_ksi,Concrete Lightweight 4 ksi,Concrete,Lightweight,Lightweight concrete with specified strength.,Lightweight f'c=4.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Lightweight_50,Concrete Lightweight 50,Concrete,Lightweight,Lightweight concrete with specified strength.,Lightweight f'c=50 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Masonry_Floor_Block,Concrete Masonry Floor Block,Concrete,Standard,Concrete block used in flooring applications.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Masonry_Units,Concrete Masonry Units,Concrete,Standard,Precast concrete blocks used in construction.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Normal_Weight_3_ksi,Concrete Normal Weight 3 ksi,Concrete,Standard,Standard weight concrete with specified strength.,Concrete f'c=3.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Normal_Weight_4_ksi,Concrete Normal Weight 4 ksi,Concrete,Standard,Standard weight concrete with specified strength.,Concrete f'c=4.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Normal_Weight_5_ksi,Concrete Normal Weight 5 ksi,Concrete,Standard,Standard weight concrete with specified strength.,Concrete f'c=5.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Plywood_formwork,Concrete Plywood formwork,Concrete,Standard,Concrete cast against plywood forms.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Precast,Concrete Precast,Concrete,Standard,Concrete components cast off-site.,Concrete f'c=5.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Precast_Panels,Concrete Precast Panels,Concrete,Standard,Precast concrete panels used for construction.,Concrete f'c=5.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Precast_Smooth_Light_Grey,Concrete Precast Smooth Light Grey,Concrete,Standard,Precast concrete panels with smooth light grey finish.,Concrete f'c=5.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Precast_Smooth_Light_Grey_Wall_Height,Concrete Precast Smooth Light Grey Wall Height,Concrete,Standard,"Precast concrete panels with smooth light grey finish, varying wall heights.",Concrete f'c=5.0 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Sand/Cement_Screed,Concrete Sand/Cement Screed,Concrete,Standard,Mixture of sand and cement used as a base layer.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Concrete_Walkway,Concrete Walkway,Concrete,Standard,Concrete path or walkway.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Copper,Copper,Metal,NonFerrous,Durable metal used in electrical systems.,Oxygen free copper
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Copper_Patina,Copper Patina,Metal,NonFerrous,Copper with patina finish for weathered appearance.,Oxygen free copper
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Cork_Tiles_as_Individual,Cork Tiles,Flooring,CorkTiles,Flooring material made from cork.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Door_Glazing,Door Glazing,Generic,Glass,Glass used in door panels or windows.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Douglas_Fir,Douglas Fir,Wood,SoftWood,Strong softwood with a reddish-brown hue.,Douglas Fir
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#EIFS_Exterior_Insulation,EIFS Exterior Insulation,Insulation,Insulation,Exterior insulation and finishing system for buildings.,Expanded Polystyrene based
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Epoxy_Resin,Epoxy Resin,Plastic,Thermoset,Thermosetting polymer often used as a sealant or adhesive.,"Cast epoxy, unfilled. average values"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Exposed_Masonry,Exposed Masonry,Masonry,BrickCommon,Masonry material left exposed for aesthetic purpose.,Common brick
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Fabric_as_Individual,Fabric,Fabric,Carpet,Cloth material made from fibers.,Woven cotton
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Fiberglass_Batt,Fiberglass Batt,Insulation,Insulation,Insulation material made from fiberglass fibers.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Fieldstone,Fieldstone,Generic,Stone,Natural stones used for rustic wall construction.,Limestone
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#GFRC,GFRC,Concrete,FiberReinforced,Glass Fiber Reinforced Concrete.,"Glass Fiber Reinforced Concrete, 5% fibers"
